division,position,name,relative_score,total_score,payout,hole_1,hole_2,hole_3,hole_4,hole_5,hole_6,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_17,hole_18
,1,Joe Bos,-4,50,,3,3,2,2,3,2,3,3,3,3,3,5,2,3,3,2,2,3
,2,Kat Owens,-1,53,,3,2,2,3,4,2,3,2,4,3,4,3,4,4,2,3,3,2
,2,Kevin Richmond,-1,53,,2,3,3,3,2,2,4,4,3,3,4,3,3,3,3,2,3,3
,4,Kyle P-H,2,56,,2,3,2,3,3,2,4,3,4,3,3,3,3,4,4,4,3,3
,5,Noah Mashni,3,57,,3,4,3,4,3,2,4,3,4,3,3,3,3,3,4,2,3,3
,6,Isaac Richmond,5,59,,3,3,3,4,4,2,3,3,4,3,4,3,4,4,3,3,4,2
,7,Chase,14,68,,4,4,3,3,4,3,5,3,4,5,4,3,5,4,3,4,4,3
